flight_number,airline_name,departure_airport,departure_city,departure_country,arrival_airport,arrival_city,duration_hours,departure_time,arrival_time
SA2712,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,14,3/9/2022,6/26/2022
DL5432,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,2,3/26/2022,1/11/2022
KE7517,Korean Air,Incheon International,Seoul,South Korea,Bole International,Addis Ababa,5,12/14/2022,4/27/2022
SQ9539,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,19,2/28/2022,5/7/2022
AI1565,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,3,4/29/2022,9/22/2022
QR7454,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,14,7/5/2022,7/14/2022
ET9925,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,21,12/20/2022,7/6/2022
LA5926,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,10,4/25/2022,5/20/2022
IB9870,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,3,9/1/2022,3/19/2022
LA1908,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,10,11/28/2022,8/5/2022
ET4570,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,21,7/31/2022,12/18/2022
EK2243,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,17,9/22/2022,11/11/2022
BA7908,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,3,9/30/2022,10/30/2022
AM6577,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,7,4/20/2022,6/7/2022
QF6361,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,16,10/14/2022,6/17/2022
AC5532,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,16,1/11/2022,2/21/2022
QR2435,Qatar Airways,Hamad International,Doha,Qatar,Frankfurt Airport,Frankfurt,4,6/12/2022,9/21/2022
KE6794,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,12,4/1/2022,9/30/2022
KL7417,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Charles de Gaulle,Paris,20,10/9/2022,8/23/2022
AF2783,Air France,Charles de Gaulle,Paris,France,Frankfurt Airport,Frankfurt,17,2/8/2022,11/7/2022
DL5388,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,8,4/4/2022,5/19/2022
TG4154,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,1,12/9/2022,1/25/2022
ET6720,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Vienna International,Vienna,21,11/1/2022,10/22/2022
NZ7014,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,7,9/23/2022,6/16/2022
IB1843,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,21,3/27/2022,9/11/2022
NH9125,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,14,5/29/2022,4/7/2022
QF8236,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,11,7/30/2022,7/7/2022
KE6091,Korean Air,Incheon International,Seoul,South Korea,Amsterdam Airport Schiphol,Amsterdam,4,3/30/2022,12/18/2022
BA5635,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,10,8/15/2022,11/10/2022
AM8507,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,20,11/7/2022,9/21/2022
SQ5181,Singapore Airlines,Changi,Singapore,Singapore,Hong Kong International,Hong Kong,12,10/13/2022,1/22/2022
AI6535,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,13,10/17/2022,9/18/2022
NH4003,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,3,12/5/2022,7/5/2022
IB5615,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,11,6/11/2022,7/22/2022
SA7873,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Logan International,Boston,5,6/29/2022,5/7/2022
KL1090,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Adolfo Suárez Madrid–Barajas,Madrid,17,12/24/2022,5/21/2022
CX7308,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,20,6/19/2022,8/17/2022
LA3959,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,22,4/5/2022,1/24/2022
SQ7108,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,4,7/8/2022,6/25/2022
AZ3815,Alitalia,Leonardo da Vinci International,Rome,Italy,Frankfurt Airport,Frankfurt,10,10/25/2022,7/29/2022
AI9592,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,4,7/5/2022,9/17/2022
KE4587,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,10,5/27/2022,4/24/2022
AV3765,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,2,11/6/2022,5/17/2022
KL2554,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Leonardo da Vinci International,Rome,15,3/31/2022,2/1/2022
SQ5036,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,4,3/16/2022,4/24/2022
KL4070,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Arturo Merino Benítez International,Santiago,15,7/24/2022,6/29/2022
QR7315,Qatar Airways,Hamad International,Doha,Qatar,Jomo Kenyatta International,Nairobi,15,10/31/2022,7/22/2022
QF1724,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,11,11/14/2022,8/15/2022
QR3146,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,12,2/21/2022,7/16/2022
DL8815,Delta Air Lines,John F. Kennedy International,New York,USA,Ministro Pistarini International,Buenos Aires,2,10/5/2022,10/25/2022
LH7990,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,7,3/16/2022,6/16/2022
NH4392,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,21,12/4/2022,1/6/2022
SK9152,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,1,2/24/2022,1/31/2022
NH2468,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,2,12/21/2022,7/21/2022
KE2453,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,19,2/27/2022,5/2/2022
LA9924,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,13,11/25/2022,1/18/2022
ET5853,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,18,4/9/2022,7/25/2022
TG2803,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Amsterdam Airport Schiphol,Amsterdam,16,1/17/2022,7/6/2022
AC8181,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,13,7/17/2022,2/19/2022
WN3007,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,7,4/3/2022,2/23/2022
TG7112,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Dubai International,Dubai,7,11/24/2022,6/9/2022
SQ7065,Singapore Airlines,Changi,Singapore,Singapore,Haneda,Tokyo,19,8/15/2022,1/16/2022
KL5248,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Toronto Pearson,Toronto,4,3/10/2022,9/13/2022
UA1392,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,22,4/6/2022,12/14/2022
BA2345,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,3,11/8/2022,12/24/2022
LA1166,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,10,12/30/2022,3/13/2022
SA9164,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,4,3/2/2022,8/13/2022
KL8615,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Frankfurt Airport,Frankfurt,21,12/26/2022,8/29/2022
WN7161,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,1,8/2/2022,8/31/2022
QR2379,Qatar Airways,Hamad International,Doha,Qatar,Amsterdam Airport Schiphol,Amsterdam,1,2/16/2022,4/18/2022
AC9242,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,23,2/23/2022,11/11/2022
LH5017,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,16,6/2/2022,6/12/2022
QF2703,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,3,8/13/2022,5/23/2022
ET7222,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,10,6/7/2022,10/29/2022
LH5385,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,11,7/6/2022,9/4/2022
AV3034,Avianca,El Dorado International,Bogotá,Colombia,Los Angeles International,Los Angeles,7,12/9/2022,7/27/2022
TG1034,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,11,1/2/2022,3/16/2022
AV3565,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,17,1/3/2022,4/25/2022
AA2610,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,20,11/11/2022,7/2/2022
AZ7376,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,7,8/4/2022,6/28/2022
NH2315,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,4,5/8/2022,1/31/2022
BA3826,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,6,6/6/2022,8/19/2022
EK8570,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,2,5/11/2022,9/3/2022
SQ1871,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,22,8/6/2022,12/17/2022
UA8455,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,7,1/4/2022,5/11/2022
AV9215,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,2,12/9/2022,4/20/2022
ET4228,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,15,12/14/2022,6/18/2022
AM4015,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,3,12/16/2022,11/10/2022
ET9707,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,12,3/6/2022,2/10/2022
IB3933,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Frankfurt Airport,Frankfurt,3,10/14/2022,3/10/2022
KE5026,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,10,6/23/2022,5/22/2022
EK2269,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,24,6/24/2022,5/26/2022
WN3052,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,23,10/8/2022,7/23/2022
KL6096,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Charles de Gaulle,Paris,10,10/17/2022,2/16/2022
NH1897,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,2,5/16/2022,10/21/2022
LH4515,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,16,5/30/2022,6/27/2022
NZ1348,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,23,1/13/2022,1/19/2022
AM5855,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,11,12/30/2022,4/11/2022
LA4827,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Frankfurt Airport,Frankfurt,17,2/10/2022,11/20/2022
BA8817,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,1,8/1/2022,10/7/2022
KE1844,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,24,5/3/2022,7/14/2022
BA8830,British Airways,Heathrow,London,UK,Copenhagen Airport,Copenhagen,5,12/28/2022,6/12/2022
AC8262,Air Canada,Toronto Pearson,Toronto,Canada,Hartsfield-Jackson Atlanta,Atlanta,23,7/14/2022,1/21/2022
UA9501,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,12,1/30/2022,12/6/2022
AI1448,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,24,3/6/2022,1/30/2022
QF9884,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,17,9/29/2022,1/27/2022
AI1710,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,17,3/25/2022,3/5/2022
SK3399,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,18,10/11/2022,1/3/2022
AC3744,Air Canada,Toronto Pearson,Toronto,Canada,Arturo Merino Benítez International,Santiago,5,6/27/2022,2/24/2022
AV4396,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,21,8/1/2022,11/25/2022
QR7618,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,21,1/12/2022,5/20/2022
AM4822,Aeroméxico,Benito Juárez International,Mexico City,Mexico,John F. Kennedy International,New York,10,5/21/2022,11/1/2022
TG8399,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Los Angeles International,Los Angeles,14,10/2/2022,5/27/2022
AV6383,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,17,1/22/2022,9/27/2022
LA8757,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,7,3/4/2022,11/8/2022
AI7555,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,21,6/17/2022,3/20/2022
ET5683,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,19,7/11/2022,11/28/2022
DL4026,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,24,5/8/2022,3/4/2022
LH1504,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,11,2/22/2022,8/23/2022
AA7925,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,11,3/9/2022,5/14/2022
BA3826,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,15,2/7/2022,5/5/2022
QR3251,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,17,3/25/2022,7/30/2022
AC7951,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,20,11/28/2022,12/1/2022
LH6904,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,1,10/15/2022,8/27/2022
CX1574,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,3,10/11/2022,9/11/2022
IB8421,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Chhatrapati Shivaji International,Mumbai,16,9/4/2022,3/16/2022
KE5512,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,2,1/18/2022,12/26/2022
AF7307,Air France,Charles de Gaulle,Paris,France,Frankfurt Airport,Frankfurt,4,12/25/2022,2/9/2022
UA8235,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,10,10/22/2022,3/23/2022
SK6642,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Stockholm Arlanda,Stockholm,12,7/2/2022,10/24/2022
AV7071,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,4,11/12/2022,1/18/2022
KL7090,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Charles de Gaulle,Paris,22,4/10/2022,1/25/2022
SK4520,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,15,1/15/2022,2/28/2022
CX4393,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,19,6/10/2022,1/7/2022
UA4570,United Airlines,Los Angeles International,Los Angeles,USA,El Dorado International,Bogotá,17,7/10/2022,5/8/2022
AV7819,Avianca,El Dorado International,Bogotá,Colombia,Hartsfield-Jackson Atlanta,Atlanta,3,8/24/2022,4/13/2022
KE4306,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,18,4/30/2022,4/3/2022
ET5802,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,9,4/7/2022,1/12/2022
SA4001,South African Airways,O.R. Tambo International,Johannesburg,South Africa,John F. Kennedy International,New York,3,4/23/2022,1/13/2022
AZ2434,Alitalia,Leonardo da Vinci International,Rome,Italy,Adolfo Suárez Madrid–Barajas,Madrid,7,5/31/2022,11/6/2022
QF3525,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,2,3/30/2022,1/25/2022
BA6693,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,7,3/16/2022,12/21/2022
QF6150,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,1,9/23/2022,3/19/2022
QR6105,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,17,2/19/2022,11/4/2022
WN2152,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,22,3/28/2022,10/26/2022
QF1061,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,21,3/12/2022,7/16/2022
AV3547,Avianca,El Dorado International,Bogotá,Colombia,Copenhagen Airport,Copenhagen,11,12/30/2022,7/21/2022
KL6129,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Charles de Gaulle,Paris,17,6/24/2022,9/3/2022
KE3996,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,15,11/30/2022,3/9/2022
SQ6788,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,14,6/12/2022,2/3/2022
NH4125,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,14,10/17/2022,11/9/2022
AF4644,Air France,Charles de Gaulle,Paris,France,Stockholm Arlanda,Stockholm,9,6/16/2022,9/13/2022
DL6459,Delta Air Lines,John F. Kennedy International,New York,USA,Logan International,Boston,21,9/23/2022,1/13/2022
AM1632,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,24,2/1/2022,6/15/2022
AC9854,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,19,10/27/2022,11/18/2022
QF8415,Qantas,Sydney Airport,Sydney,Australia,Haneda,Tokyo,20,4/2/2022,12/26/2022
SA6283,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,14,12/28/2022,12/16/2022
QF8486,Qantas,Sydney Airport,Sydney,Australia,Haneda,Tokyo,22,4/4/2022,9/24/2022
SK8375,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,21,2/19/2022,1/28/2022
AZ8496,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,6,8/22/2022,2/27/2022
SK9722,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,14,12/10/2022,1/26/2022
EK6922,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,10,5/18/2022,9/5/2022
AZ1923,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,6,1/8/2022,7/20/2022
AZ1037,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,11,9/5/2022,5/14/2022
SQ8216,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,15,11/19/2022,2/20/2022
DL9764,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,9,6/17/2022,8/7/2022
WN8327,Southwest Airlines,Los Angeles International,Los Angeles,USA,Seattle-Tacoma International,Seattle,20,7/29/2022,7/4/2022
SA4397,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,16,4/16/2022,12/16/2022
IB2418,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,21,5/3/2022,11/27/2022
AZ9050,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,14,9/25/2022,3/12/2022
SQ3273,Singapore Airlines,Changi,Singapore,Singapore,Chhatrapati Shivaji International,Mumbai,16,4/15/2022,6/23/2022
SK2247,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,San Francisco International,San Francisco,13,10/13/2022,5/27/2022
QR5348,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,3,12/17/2022,5/9/2022
QF1234,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,20,9/19/2022,5/31/2022
SK1460,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,23,2/17/2022,5/2/2022
EK8650,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,14,8/13/2022,7/30/2022
DL5874,Delta Air Lines,John F. Kennedy International,New York,USA,Los Angeles International,Los Angeles,4,11/3/2022,4/25/2022
QF9924,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,14,12/5/2022,1/24/2022
AM2356,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,20,7/2/2022,3/29/2022
BA9479,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,12,11/7/2022,2/10/2022
AA2277,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,8,6/3/2022,12/10/2022
SK9534,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,14,8/24/2022,5/14/2022
AC2804,Air Canada,Toronto Pearson,Toronto,Canada,Dallas/Fort Worth International,Dallas,6,1/7/2022,1/1/2022
AC8993,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,2,5/29/2022,5/15/2022
QF5890,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,15,2/25/2022,3/1/2022
QF3037,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,16,7/17/2022,5/11/2022
CX3692,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,10,4/29/2022,1/4/2022
TG8205,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Hong Kong International,Hong Kong,19,6/7/2022,9/6/2022
NH1126,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,7,10/20/2022,5/3/2022
WN9446,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,12,1/18/2022,4/19/2022
